id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,meddnp,Meddelelser (Norsk Polarinstitutt),Meddelelser (Norsk Polarinstitutt),0373-5605,,,,
+,123456789s/22,Serial,dbtcont,"INSU-CNRS DBT Fluides dans la croûte 1993, Contribution","INSU-CNRS DBT Fluides dans la croûte 1993, Contribution",,,,,
+,123456789s/22,Serial,bcgsgfp,British Columbia Geological Survey Geological Fieldwork Paper,British Columbia Geological Survey Geological Fieldwork Paper,0381-243X,,,,
+,123456789s/22,Serial,ocsstmms,"United States Department of the Interior, Minerals Management Service, OCS Study MMS","United States Department of the Interior, Minerals Management Service, OCS Study MMS",,,,,
+,123456789s/22,Serial,gscmfoss,"Geological Survey of Canada, Mesozoic Fossils","Commission géologique du Canada, Fossiles mésozoïques",,,,,
+,123456789s/22,Serial,palecont,"PALE (Paleoclimates from Arctic Lakes and Estuaries), Contribution","PALE (Paleoclimates from Arctic Lakes and Estuaries), Contribution",1923-1245,0004-0843,,,
+,123456789s/22,Serial,msrspub,"Marine Sciences Research Centre, Publication","Marine Sciences Research Centre, Publication",,,,,
+,123456789s/22,Serial,tsrccont,"Tectonics Special Research Centre, Contribution","Tectonics Special Research Centre, Contribution",0278-7407,,,,
+,123456789s/22,Serial,yegsdmap,"Indian and Northern Affairs Canada, Exploration and Geological Services Division, Yukon Region, Geoscience Map","Affaires indiennes et du Nord Canada, Exploration et services de géologie, Région du Yukon, Carte géoscientifique",,,,,
+,123456789s/22,Serial,revengg,Reviews in Engineering Geology,Reviews in Engineering Geology,,1943-2682,,,
+,123456789s/22,Serial,gacmddsp,"Geological Association of Canada, Mineral Deposits Division, Special Publication","Geological Association of Canada, Mineral Deposits Division, Special Publication",1498-7724,,,,
+,123456789s/22,Serial,nbnric,"New Brunswick Department of Natural Resources, Information Circular","Ministère des Ressources naturelles du Nouveau-Brunswick, Circulaire d'information",,,,,
+,123456789s/22,Serial,marscipp,"Department of the Environment, Marine Sciences Branch, Marine Science Paper","Department of the Environment, Marine Sciences Branch, Marine Science Paper",,1095-9203,,,
+,123456789s/22,Serial,islarc,Island Arc,Island Arc,1038-4891,,,,
+,123456789s/22,Serial,natossees,"NATO Science Series, Sub-Series IV: Earth and Environmental Sciences","NATO Science Series, Sub-Series IV: Earth and Environmental Sciences",,1095-9203,One of four sub-series since 1999.,,
+,123456789s/22,Serial,iocts,"Intergovernmental Oceanographic Commission, Technical Series","Intergovernmental Oceanographic Commission, Technical Series",,,,,
+,123456789s/22,Serial,ecatlor,"Environment Canada, Atlantic Region, Occasional Report","Environnement Canada, Région de l'Atlantique, Rapport occasionnel",,,,,
+,123456789s/22,Serial,tellus,Tellus,Tellus,,,,,
+,123456789s/22,Serial,gpsworld,GPS World,GPS World,,,,,
+,123456789s/22,Serial,nwtgoygf,"Northwest Territories Geoscience Office, Yellowknife Geoscience Forum Abstracts Volume","Northwest Territories Geoscience Office, Yellowknife Geoscience Forum Abstracts Volume",,,,,
+,123456789s/22,Serial,lspfnews,Lithoprobe Seismic Processing Facility Newsletter,Lithoprobe Seismic Processing Facility Newsletter,,,,,
+,123456789s/22,Serial,geopresa,Geophysical Research Abstracts,Geophysical Research Abstracts,1607-7962,,,,
+,123456789s/22,Serial,geobcmap,"Geoscience BC, Map","Geoscience BC, Map",,,,,
+,123456789s/22,Serial,geosprp,"Geological Society, Special Report","Geological Society, Special Report",0309-670X,,,,
+,123456789s/22,Serial,gsnmap,"Newfoundland and Labrador, Department of Mines, Geological Survey of Newfoundland, Map","Newfoundland and Labrador, Department of Mines, Geological Survey of Newfoundland, Map",,,,,
+,123456789s/22,Serial,gsnof,"Newfoundland and Labrador, Department of Mines, Geological Survey of Newfoundland, Open File","Newfoundland and Labrador, Department of Mines, Geological Survey of Newfoundland, Open File",,,,,
+,123456789s/22,Serial,nlmegsbmp,"Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Map","Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Map",,,,,
+,123456789s/22,Serial,nlmegsbof,"Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Open File","Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Open File",,,,,
+,123456789s/22,Serial,nlmegsmp,"Newfoundland and Labrador, Department of Mines and Energy, Geological Survey, Map","Newfoundland and Labrador, Department of Mines and Energy, Geological Survey, Map",,,,,
+,123456789s/22,Serial,nlmegsof,"Newfoundland and Labrador, Department of Mines and Energy, Geological Survey, Open File","Newfoundland and Labrador, Department of Mines and Energy, Geological Survey, Open File",,,,,
+,123456789s/22,Serial,gcpopg,"Geomatics Canada, Popular Geoscience","Géomatique Canada, Géoscience pour tous",,2292-7891,Series created July 2007 equivalent to GSC Miscellaneous Reports,,
+,123456789s/22,Serial,gctechn,"Geomatics Canada, Technical Note","Géomatique Canada, Note technique",,1914-4229,Series created July 2007,,
+,123456789s/22,Serial,gcdata,"Geomatics Canada, Data","Géomatique Canada, Donées",,,Series created July 2007,,
+,123456789s/22,Serial,gcscipr,"Geomatics Canada, Scientific Presentation","Géomatique Canada, Présentation scientifique",,2292-7883,Series created July 2007,,
+,123456789s/22,Serial,isbmlpub,"International Symposium on Belgian Micropaleontological Limits (1974 : Namur, Belgium), Publication","International Symposium on Belgian Micropaleontological Limits (1974 : Namur, Belgium), Publication",,,,,
+,123456789s/22,Serial,mrnqgm,"Quebec Department of Natural Resources, Mineral deposits","Ministère des Ressources naturelles du Québec, Gîtes mineraux",,,,,
+,123456789s/22,Serial,nlmegsra,"Newfoundland and Labrador, Department of Mines and Energy, Geological Survey, Report of Activities","Newfoundland and Labrador, Department of Mines and Energy, Geological Survey, Report of Activities",,,,,
+,123456789s/22,Serial,nhrisr,"National Hydrology Research Institute, Science Report","National Hydrology Research Institute, Science Report",,1095-9203,,,
+,123456789s/22,Serial,srhyd,Studies and Reports in Hydrology,Études et rapports d'hydrologie,0081-7449,,,,
+,123456789s/22,Serial,norhyd,Nordic Hydrology,Nordic Hydrology,,,,,
+,123456789s/22,Serial,ccrsrr,"Canada Centre for Remote Sensing, Research Report","Centre canadien de télédétection, Rapport de recherche",0821-9311,,,,
+,123456789s/22,Serial,nhrics,"National Hydrology Research Institute, Contribution Series","Institut national de recherches en hydrologie, Monographie",0838-1992,,,,
+,123456789s/22,Serial,ccrsdr,"Canada Centre for Remote Sensing, Data Report","Canada Centre for Remote Sensing, Data Report",,,,,
+,123456789s/22,Serial,ccrstn,"Canada Centre for Remote Sensing, Technical Note","Canada Centre for Remote Sensing, Technical Note",0713-7079,,,,
+,123456789s/22,Serial,ccrsum,"Canada Centre for Remote Sensing, Users' Manual","Centre canadien de télédétection, Manuel de l'usager",0713-2778,,,,
+,123456789s/22,Serial,ccrsrs,"Canada Centre for Remote Sensing, Remote Sensing in Canada","Centre canadien de télédétection, Télédétection au Canada",0226-479X,,1972-2002,,
+,123456789s/22,Serial,ccrsdmdtm,"Canada Centre for Remote Sensing, Digital Methods Division, Technical Memorandum","Canada Centre for Remote Sensing, Digital Methods Division, Technical Memorandum",,,unpublished series,,
+,123456789s/22,Serial,nhricr,"National Hydrology Research Institute, Contract Report","National Hydrology Research Institute, Contract Report",,,no numbers assigned in this series.,,
+,123456789s/22,Serial,ccrsdadtn,"Canada Centre for Remote Sensing, Data Acquisitions Division, Technical Note","Canada Centre for Remote Sensing, Data Acquisitions Division, Technical Note",,,unpublished series,,
+,123456789s/22,Serial,nhriic,"National Hydrology Research Institute, Internal Contribution","National Hydrology Research Institute, Internal Contribution",,,,,
+,123456789s/22,Serial,jcoastrsi,"Journal of Coastal Research, Special Issue","Journal of Coastal Research, Special Issue",,,,,
+,123456789s/22,Serial,nlnrgsra,"Newfoundland and Labrador, Department of Natural Resources, Geological Survey, Report of Activities","Newfoundland and Labrador, Department of Natural Resources, Geological Survey, Report of Activities",,,,,
+,123456789s/22,Serial,georesf,GeoResearch Forum,GeoResearch Forum,,,,,
+,123456789s/22,Serial,aipconp,AIP Conference Proceedings,AIP Conference Proceedings,,,American Institute of Physics,,
+,123456789s/22,Serial,sepmshco,"SEPM (Society for Sedimentary Geology), Short Course","SEPM (Society for Sedimentary Geology), Short Course",,1943-2682,,,
+,123456789s/22,Serial,explgeop,Exploration Geophysics,,0016-8033,1942-2156,"Continues Bulletin of the Australian Society of Exploration Geophysists in March 1984 (Vol. 15, No. 1)",,
+,123456789s/22,Serial,afssymp,American Fisheries Society Symposium,American Fisheries Society Symposium,0892-2284,,,,
+,123456789s/22,Serial,gsamcs,"Geological Society of America, Map and Chart Series","Geological Society of America, Map and Chart Series",0272-0795,,,,
+,123456789s/22,Serial,dwafpcon,"Deep-Water Agglutinated Foraminifera Project, Contribution","Deep-Water Agglutinated Foraminifera Project, Contribution",,,,,
+,123456789s/22,Serial,scssere,Statistics Canada International Symposium Series,Statistics Canada International Symposium Series,1709-8211,,French version is a separate series with a different ISSN.,,
+,123456789s/22,Serial,scsserf,Série des symposiums internationaux de Statistique Canada,Série des symposiums internationaux de Statistique Canada,1709-822X,,English is a separate series with different ISSN.,,
+,123456789s/22,Serial,aimmpub,Australasian Institute of Mining and Metallurgy Publication Series,Australasian Institute of Mining and Metallurgy Publication Series,,,,,
+,123456789s/22,Serial,yegsdof,"Indian and Northern Affairs Canada, Exploration and Geological Services Division, Yukon Region, Open File","Affaires indiennes et du nord Canada, Exploration et services de géologie, Région du Yukon, Dossier Public",,,,,
+,123456789s/22,Serial,itcj,ITC Journal,Bulletin de l'ITC,0303-2434,,"Continues - Publications of the International Institute of Aerial Survey and Earth Sciences. Series A, Photogrammetry; Supersd By - International journal of applied earth observation and geoinformation",,
+,123456789s/22,Serial,devsed,Developments in Sedimentology,Developments in Sedimentology,0037-0746,1365-3091,,,
+,123456789s/22,Serial,igcpca,IGCP Project no. 271 Contribution,IGCP Project no. 271 Contribution,,,,,
+,123456789s/22,Serial,nwunivr,Northwestern University Report,Northwestern University Report,,,,,
+,123456789s/22,Serial,Okeanol,Okeanologiya,Okeanologiya,0030-1574,,,,
+,123456789s/22,Serial,nsnrrpt,"Nova Scotia Department of Natural Resources, Minerals and Energy Branch, Report","Nova Scotia Department of Natural Resources, Minerals and Energy Branch, Report",,,,,
+,123456789s/22,Serial,nwtgoor,"Northwest Territories Geoscience Office, NWT Open Report","Northwest Territories Geoscience Office, NWT Open Report",,,new name for EGS Open Report series,,
+,123456789s/22,Serial,spie,"Proceedings of SPIE, the International Society of Optical Engineering","Proceedings of SPIE, the International Society of Optical Engineering",,,,,
+,123456789s/22,Serial,ecolapp,Ecological Applications,Ecological Applications,10510761,,,,
+,123456789s/22,Serial,nmddr,"Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Report","Newfoundland and Labrador, Department of Mines and Energy, Geological Survey Branch, Report",,,,,
+,123456789s/22,Serial,ogsmp,"Ontario Geological Survey, Map","Commission géologique de l'Ontario, Carte",,,,,
+,123456789s/22,Serial,radrad,Radioactivity and Radiochemistry,Radioactivity and Radiochemistry,1045-845X,,,,
+,123456789s/22,Serial,utxdcon,"University of Texas at Dallas, Geosciences Department, Contribution","University of Texas at Dallas, Geosciences Department, Contribution",2076-3263,,,,
+,123456789s/22,Serial,jamc,Journal of Applied Meteorology and Climatology,Journal of Applied Meteorology and Climatology,1558-8424,1558-8432,,,
+,123456789s/22,Serial,usdimbsp,"United States Department of the Interior, Bureau of Mines, Special Publication","United States Department of the Interior, Bureau of Mines, Special Publication",,,,,
+,123456789s/22,Serial,gscegser,"Geological Survey of Canada, Economic Geology Series","Commission géologique du Canada, Série de la géologie économique",0317-4409,1943-2682,applies to nos. 1-19,,
+,123456789s/22,Serial,bnmmnhs,Bulletin of the New Mexico Museum of Natural History and Science,Bulletin of the New Mexico Museum of Natural History and Science,,1095-9203,,,
+,123456789s/22,Serial,chnkrdpc,China 973 National Key Research and Development Program Contribution,China 973 National Key Research and Development Program Contribution,,,,,
+,123456789s/22,Serial,isprsbs,ISPRS Book Series,ISPRS Book Series,,,,,
+,123456789s/22,Serial,nbnrmpl,"New Brunswick Department of Natural Resources, Minerals, Policy and Planning Division, Map Plate","Ministère des Ressources naturelles du Nouveau-Brunswick, Division des minéraux, des politiques, et de la planification, Cliché cartographique",,,,,
+,123456789s/22,Serial,oeubopgr,"Ontario Energy and Utilities Board, Ontario Power Generation Report","Ontario Energy and Utilities Board, Ontario Power Generation Report",,,,,
+,123456789s/22,Serial,bcpgof,"British Columbia Ministry of Energy, Mines and Petroleum Resources, Petroleum Geology Open File","British Columbia Ministry of Energy, Mines and Petroleum Resources, Petroleum Geology Open File",,1943-2682,,,
+,123456789s/22,Serial,pubcon,"Petroleum University (Beijing), Contribution","Petroleum University (Beijing), Contribution",,,,,
+,123456789s/22,Serial,nlnrgsof,"Newfoundland and Labrador, Department of Natural Resources, Geological Survey, Open File","Newfoundland and Labrador, Department of Natural Resources, Geological Survey, Open File",,,,,
+,123456789s/22,Serial,bcpalamp,British Columbia Paleontological Alliance Miscellaneous Publication,British Columbia Paleontological Alliance Miscellaneous Publication,,,,,
+,123456789s/22,Serial,nbers,"New Brunswick Department of Environment, New Brunswick Environmental Reporting Series","Ministère de l'Environnement et des Gouvernements locaux du Nouveau-Brunswick, Série de rapports environnementaux du Nouveau-Brunswick",,,,,
+,123456789s/22,Serial,ometpfr,"Ontario Mineral Exploration Technology program, Final Report","Ontario Mineral Exploration Technology program, Final Report",,,,,
+,123456789s/22,Serial,utxigcon,"University of Texas, Institute for Geophysics, Contribution","University of Texas, Institute for Geophysics, Contribution",0016-8033,1942-2156,,,
+,123456789s/22,Serial,nwrisars,"Environment Canada, National Water Research Institute, Scientific Assessment Report Series",,,,,,
+,123456789s/22,Serial,acsdsas,"Environment Canada, Atmospheric and Climate Science Directorate, Science Assessment Series","Environnement Canada, Direction générale des sciences atmosphériques et climatiques, Série de documents d'évaluation de la science",,1095-9203,,,
+,123456789s/22,Serial,norwjgeo,Norwegian Journal of Geology,Norwegian Journal of Geology,2387-5844,1943-2682,"name change from Norsk geologisk tidsskrift effective Vol. 81, no. 1 (2001)",,
+,123456789s/22,Serial,mrnqfpco,"Quebec Department of Natural Resources, Wildlife and Parks, Contribution","Ministère des Ressources naturelles, de la Faune et des Parcs du Québec, Contribution",,,,,
+,123456789s/22,Serial,gsctechn,"Geological Survey of Canada, Technical Note","Commission géologique du Canada, Note technique",,1914-525X,Series created July 2007,,
+,123456789s/22,Serial,gscdata,"Geological Survey of Canada, Data","Commission géologique du Canada, Donées",,,Series created July 2007,,
+,123456789s/22,Serial,gscpopg,"Geological Survey of Canada, Popular Geoscience","Commission géologique du Canada, Géosciences pour tous",1914-492X,1914-4946,Series created July 2007 replacing GSC Miscellaneous Reports. First volume (94E&F) was released in October 2007. French ISSN 1914-4938 ISSNE 1914-4954,,
+,123456789s/22,Serial,gscscipr,"Geological Survey of Canada, Scientific Presentation","Commission géologique du Canada, Présentation scientifique",,,Series created July 2007,,
+,123456789s/22,Serial,obgrav,"Observatories Branch, Gravity Map Series","Observatories Branch, Gravity Map Series",,,"In 1964, Dominion Observatories became the Observatories Branch. In April 1970, Observatories Branch became the Earth Physics Branch. In April 1986, Earth Physics Branch merged with the Geological Survey of Canada.",,
+,123456789s/22,Serial,revgeomd,Revue de géomorphologie dynamique,Revue de géomorphologie dynamique,0556-7432,,"Ends in 1994. Then in 1995 continues under Géomorphologie : relief, processus, environnement",,
+,123456789s/22,Serial,bcgsgf,"British Columbia Geological Survey, Geofile","British Columbia Geological Survey, Geofile",,,,,
+,123456789s/22,Serial,secpalmsp,"Society of Economic Paleontologists and Mineralogists, Pacific Section, Special Publications","Society of Economic Paleontologists and Mineralogists, Pacific Section, Special Publications",,,,,
+,123456789s/22,Serial,minngsof,"Minnesota Geological Survey, Open File","Minnesota Geological Survey, Open File",,,,,
+,123456789s/22,Serial,ieeetpami,IEEE Transactions on pattern analysis and machine intelligence  (Institute of Electrical and Electronics Engineers),IEEE Transactions on pattern analysis and machine intelligence (Institute of Electrical and Electronics Engineers),,,,,
+,123456789s/22,Serial,bcgeolf,"British Columbia Ministry of Energy, Mines and Petroleum Resources, Geological Fieldwork","British Columbia Ministry of Energy, Mines and Petroleum Resources, Geological Fieldwork",,,,,
+,123456789s/22,Serial,expltdev,Exploration Trends and Development,Exploration Trends and Development,,,"Published by GSC, and distributed with the Northern Miner, as of 2005.",,
+,123456789s/22,Serial,ignscon,"Institute of Geological and Nuclear Sciences, Contribution","Institute of Geological and Nuclear Sciences, Contribution",,,,,
+,123456789s/22,Serial,odgmiofr,"Oregon Department of Geology and Mineral Industries, Open File Report","Oregon Department of Geology and Mineral Industries, Open File Report",,1943-2682,,,
+,123456789s/22,Serial,prmarsci,Proceedings in Marine Science,Proceedings in Marine Science,1568-2692,,,,
+,123456789s/22,Serial,friendsgscha,"Friends of GSC History, Series A - Historical Contributions","Amis de l'histoire de la CGC, série A - Contributions historiques",,,Volume 1 released in November 2007,,
+,123456789s/22,Serial,friendsgschb,"Friends of GSC History, Series B - Reference Documents","Amis de l'histoire du CGC, série B - Documents de référence",,,Volume 1 released in November 2007,,
+,123456789s/22,Serial,jgeoedu,Journal of Geoscience Education,Journal of Geoscience Education,1089-9995,,,,
+,123456789s/22,Serial,igethzco,"Institute of Geophysics, ETH Zürich, Contribution","Institute of Geophysics, ETH Zürich, Contribution",0016-8033,1942-2156,,,
+,123456789s/22,Serial,sgeopgeod,Studia Geophysica et Geodaetica,Studia Geophysica et Geodaetica,0039-3169,1573-1626,,,
+,123456789s/22,Serial,ridgeev,Ridge Events,Ridge Events,,,,,
+,123456789s/22,Serial,spn,"SPN, Journal for Satellite-Based Positioning, Navigation and Communication","SPN, Journal for Satellite-Based Positioning, Navigation and Communication",0028-1522,,,,
+,123456789s/22,Serial,ecovis,Ecovision World Monograph Series,Ecovision World Monograph Series,,,,,
+,123456789s/22,Serial,arpentgeom,Arpenteur-Géomètre,Arpenteur-Géomètre,0228-6637,,Vol.7 no. 1 (Dec 1979) - Vol.23 no. 5 (Feb 1997).  Continues:  Revue de l'Ordre des arpenteurs-géomètres du Québec.  Continued by: Géomatique,,
+,123456789s/22,Serial,aujgeodps,"Australian Journal of Geodesy, Photogrammetry and Surveying","Australian Journal of Geodesy, Photogrammetry and Surveying",0159-8910,,,,
+,123456789s/22,Serial,natoasii,"NATO Advanced Science Institutes Series, Series I: Global Environmental Change","NATO Advanced Science Institutes Series, Series I: Global Environmental Change",,1095-9203,,,
+,123456789s/22,Serial,revhischa,Revue d'histoire de Charlevoix,Revue d'histoire de Charlevoix,,,,,
+,123456789s/22,Serial,marenvres,Marine Environmental Research,Marine Environmental Research,0141-1136,,,,
+,123456789s/22,Serial,aeclres,"Atomic Energy of Canada Limited, Research","Atomic Energy of Canada Limited, Research",,,,,
+,123456789s/22,Serial,radiosci,Radio Science,Radio Science,0048-6604,1095-9203,,,
+,123456789s/22,Serial,pctres,Parks Canada Technical Reports in Ecosystem Science,Parks Canada Technical Reports in Ecosystem Science,,1095-9203,,,
+,123456789s/22,Serial,wwcac,Wilson & Wilson's comprehensive analytical chemistry,Wilson & Wilson's comprehensive analytical chemistry,0166-526X,,,,
+,123456789s/22,Serial,urisa,Urban and Regional Information Systems Association Conference,Urban and Regional Information Systems Association Conference,,,,,
+,123456789s/22,Serial,astmst,"American Society for Testing and Materials, Standard","American Society for Testing and Materials, Standard",,,,,
+,123456789s/22,Serial,isjsn,ISJS Newsletter,ISJS Newsletter,,,,,
+,123456789s/22,Serial,segspecpub,"Society of Economic Geologists, Special Publication","Society of Economic Geologists, Special Publication",1938-4548,,,,
+,123456789s/22,Serial,asprsacsmrt92tp,ASPRS/ACSM/RT'92 Technical Papers,ASPRS/ACSM/RT'92 Technical Papers,,,,,
+,123456789s/22,Serial,skmerof,"Saskatchewan Ministry of Energy and Resources, Open File","Saskatchewan Ministry of Energy and Resources, Open File",,,,,
+,123456789s/22,Serial,jconfproc,Journal of Conference Proceedings,Journal of Conference Proceedings,,,seems to have been started by Cambridge Publications at the same time as the Journal of Conference Abstracts but did not last as long - covers different conferences.,,
+,123456789s/22,Serial,thesea,The Sea: Ideas and Observations on Progress in the Study of the Seas,The Sea: Ideas and Observations on Progress in the Study of the Seas,,,,,
+,123456789s/22,Serial,dsrparta,"Deep-Sea Research, Part A: Oceanographic Research Papers","Deep-Sea Research, Part A: Oceanographic Research Papers",0198-0149,,1979-1992,,
+,123456789s/22,Serial,dsrparti,"Deep-Sea Research, Part I: Oceanographic Research Papers","Deep-Sea Research, Part I: Oceanographic Research Papers",0967-0637,,1993-,,
+,123456789s/22,Serial,dsrpartii,"Deep-Sea Research, Part II: Topical Studies in Oceanography","Deep-Sea Research, Part II: Topical Studies in Oceanography",1042-8275,,1993-,,
+,123456789s/22,Serial,dsrold,Deep-Sea Research,Deep-Sea Research,0146-6313,,1953-1961,,
+,123456789s/22,Serial,dsrnew,Deep-Sea Research,Deep-Sea Research,0146-6291,,1977-1978,,
+,123456789s/22,Serial,dsrpartb,"Deep-Sea Research, Part B: Oceanographic Literature Review","Deep-Sea Research, Part B: Oceanographic Literature Review",0198-0254,,1979-1992,,
+,123456789s/22,Serial,iczm,Integrated Coastal Zone Management,Integrated Coastal Zone Management,1470-3696,,,,
+,123456789s/22,Serial,earthinsp,Earth in Space,Earth in Space,1040-3124,,Existed only from 1988-2001,,
+,123456789s/22,Serial,geofactsn,"Natural Resources Canada, Geofacts [new series]","Ressources naturelles Canada, Géoinfo [nouvelle série]",,,new Geofacts series beginning 2008 - French title is different from old series. The series is NRCan level (no mention of GSC or ESS) - which is similar to older ones which were EMR-level.,,
+,123456789s/22,Serial,capalconpro,Canadian Paleontology Conference Proceedings,Canadian Paleontology Conference Proceedings,1708-5217,,,,
+,123456789s/22,Serial,geofactsoe,"Energy, Mines and Resources Canada, Geofacts","Énergie, Mines et Ressources Canada, Géodoc",,,old Geofacts series from 1980s and 1990s - French title is different from new series. The series is EMR level (no mention of GSC or ESS) - which is similar to new ones which are NRCan-level.,,
+,123456789s/22,Serial,qdnrfof,"Quebec Department of Natural Resources and Wildlife, Open File","Québec Ministère des Ressources naturelles et de la Faune, Dossier public",,,"Continues Quebec Ministère des Ressources naturelles, Open File",,
+,123456789s/22,Serial,iascrep,IASC (International Arctic Science Committee) Report,IASC (International Arctic Science Committee) Report,,1095-9203,,,
+,123456789s/22,Serial,asedsin,Acta Sedimentologica Sinica,Acta Sedimentologica Sinica,1000-0550,,,,
+,123456789s/22,Serial,sciaff,Science Affairs,Science Affairs,,1095-9203,Youth Science Foundation,,
+,123456789s/22,Serial,arcnnews,ArcNorth News,ArcNorth News,,,,,
+,123456789s/22,Serial,grwatpn,Groundwater Program Newsletter,Bulletin du programme sur les eaux souterraines,0017-467X,,,,
+,123456789s/22,Serial,gscgeosi,"Geological Survey of Canada, Geosites","Commission géologique du Canada, Sites géologiques",,,ad hoc series - no date given (assume c1992) - no series numbers.,,
+,123456789s/22,Serial,aercbagssr,"Alberta Energy Resources Conservation Board / Alberta Geological Survey, Special Report","Alberta Energy Resources Conservation Board / Alberta Geological Survey, Special Report",,,,,
+,123456789s/22,Serial,nrcanmak,NRCan Making a Difference,RNCan Une contribution significative,,,cat. no. M34-4/...,,
+,123456789s/22,Serial,mstemof,"Manitoba Science, Technology, Energy and Mines, Manitoba Geological Survey, Open File","Manitoba Science, Technology, Energy and Mines, Manitoba Geological Survey, Open File",,1095-9203,,,
+,123456789s/22,Serial,passcc,"University of New Brunswick, Planetary and Space Science Centre, Contribution","University of New Brunswick, Planetary and Space Science Centre, Contribution",,1095-9203,,,
+,123456789s/22,Serial,transpforum,Transportation Forum,Tribune des transports,0826-8193,,,,
+,123456789s/22,Serial,chinscib,Chinese Science Bulletin,Chinese Science Bulletin,,1095-9203,,,
+,123456789s/22,Serial,erstcont,Ertsberg Project Contribution,Ertsberg Project Contribution,,,,,
+,123456789s/22,Serial,cprmsp,CPRM (Companhia de Pesquisa de Recursos Minerais) Special Publication,CPRM (Companhia de Pesquisa de Recursos Minerais) Special Publication,,,,,
+,123456789s/22,Serial,bulaqqua,Bulletin - Association Québecoise pour l'étude du Quaternaire,Bulletin - Association Québecoise pour l'étude du Quaternaire,,,,,
+,123456789s/22,Serial,docbrgm,Documents du BRGM,Documents du BRGM,0221-2536,,,,
+,123456789s/22,Serial,annlitub,Annales littéraires de l'Université de Besançon,Annales littéraires de l'Université de Besançon,,,,,
+,123456789s/22,Serial,alubgeog,"Annales littéraires de l'Université de Besançon, série Géographie","Annales littéraires de l'Université de Besançon, série Géographie",,,,,
+,123456789s/22,Serial,orggeor,Organic Geology Reviews,Organic Geology Reviews,,1943-2682,,,
+,123456789s/22,Serial,baseoper,Base Operations,Base Operations,,,,,
+,123456789s/22,Serial,qmrncon,"Quebec Department of Natural Resources, Contribution","Ministère des ressources naturelles du Québec, Contribution",,,,,
+,123456789s/22,Serial,marorpg,Marine Origin Petroleum Geology,Marine Origin Petroleum Geology,,1943-2682,Chinese language journal,,
+,123456789s/22,Serial,ffgms,"Geological Survey of Canada, Faribault-Fletcher Geological Maps Series","Geological Survey of Canada, Faribault-Fletcher Geological Maps Series",,,,,
+,123456789s/22,Serial,cartopersp,Cartographic Perspectives,Cartographic Perspectives,,,,,
+,123456789s/22,Serial,breggeoe,Beiträge zur regionalen Geologie der Erde,Beiträge zur regionalen Geologie der Erde,,,,,
+,123456789s/22,Serial,cmcmerc,"Canadian Museum of Civilization, Mercury Series History Paper","Musée canadien des civilisations, Collection Mercure",0316-1854,,,,
+,123456789s/22,Serial,cmcdp,"Canadian Museum of Civilization, Directorate Paper","Musée canadien des civilisations, Administration Dossier",0833-0506,,,,
+,123456789s/22,Serial,gscgdir,"Geological Survey of Canada, Geophysics Division, Internal Report","Commission géologique du Canada, Division de géophysique, Rapport interne",0016-8033,1942-2156,,,
+,123456789s/22,Serial,smbmcr,"Canada, Surveys and Mapping Branch, MCR Series","Canada, Direction des levés et de la cartographie, Collection MCR",,,,,
+,123456789s/22,Serial,epbsgir,"Earth Physics Branch, Division of Seismology and Geomagnetism, Internal Report","Direction de la physique du globe, Division de la sismologie et du géomagnétisme, Rapport interne",,,From 1975-1986,,
+,123456789s/22,Serial,cansurv,Canadian Surveyor,Canadian Surveyor,0008-5103,,,,
+,123456789s/22,Serial,inrsrr,"INRS - Eau, Terre & Environnement, rapport de recherche","INRS - Eau, Terre & Environnement, rapport de recherche",,,,,
+,123456789s/22,Serial,pannews,PanCanadian Newsletter,PanCanadian Newsletter,,,,,
+,123456789s/22,Serial,gscogmap,"Geological Survey of Canada, Ontario Geological Map Series","Commission géologique du Canada, Série des cartes géologiques de l'Ontario",,,This seems to be a subseries of the multicoloured maps.,,
+,123456789s/22,Serial,gscccpal,"Geological Survey of Canada, Contributions to Canadian Palaeontology","Commission géologique du Canada, Contributions à la paléontologie canadienne",0031-0239,1475-4983,,,
+,123456789s/22,Serial,gscccmic,"Geological Survey of Canada, Contributions to Canadian Micro-Palaeontology","Commission géologique du Canada, Contributions à la micro-paléontologie canadienne",0031-0239,1475-4983,,,
+,123456789s/22,Serial,gscnewsp,"Geological Survey of Canada, New Species of Lower Silurian Fossils","Commission géologique du Canada, Nouvelle espèce de fossiles siluriens inférieurs",,,,,
+,123456789s/22,Serial,gsccatpl,"Geological Survey of Canada, Catalogue of Canadian Plants","Commission géologique du Canada, Catalogue des plantes canadiennes",,,,,
+,123456789s/22,Serial,gscph,"Geological Survey of Canada, Prospector's Handbook","Commission géologique du Canada, Manuel du Prospecteur",,,only one number ever published.,,
